region,center-type,center-lang,name,link
BC,Service Canada Centre and Passport Office (consolidated),Services offered in English,Surrey South Service Canada Centre and Passport Services,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=5852&lang=eng
BC,Passport Office,Services offered in English and French,Vancouver Service Canada Centre - Passport Services,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=5001&lang=eng
BC,Passport Office,Services offered in English,Richmond Service Canada Centre - Passport Services,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=5003&lang=eng
BC,Passport Office,Services offered in English,Surrey Service Canada Centre - Passport Services,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=5002&lang=eng
BC,Scheduled Outreach Site,Services offered in English,100 Mile House Scheduled Outreach Site,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=BC-SBS&lang=eng
BC,Scheduled Outreach Site,Services offered in English,Alert Bay Scheduled Outreach Site,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=BC-SAY&lang=eng
BC,Scheduled Outreach Site,Services offered in English,Ashcroft Scheduled Outreach Site,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=BC-SBT&lang=eng
BC,Scheduled Outreach Site,Services offered in English,Bella Bella Scheduled Outreach Site,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=BC-SAM&lang=eng
BC,Scheduled Outreach Site,Services offered in English,Bella Coola Scheduled Outreach Site,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=BC-SBV&lang=eng
BC,Scheduled Outreach Site,Services offered in English,Burns Lake Scheduled Outreach Site,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=BC-SBU&lang=eng
BC,Scheduled Outreach Site,Services offered in English,Castlegar Scheduled Outreach Site,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=BC-SBQ&lang=eng
BC,Scheduled Outreach Site,Services offered in English,Clearwater Scheduled Outreach Site,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=BC-SAZ&lang=eng
BC,Scheduled Outreach Site,Services offered in English,Clinton Scheduled Outreach Site,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=BC-SBR&lang=eng
BC,Scheduled Outreach Site,Services offered in English,Daajing Giids Scheduled Outreach Site,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=BC-SBP&lang=eng
BC,Scheduled Outreach Site,Services offered in English,Fort St. James Scheduled Outreach Site,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=BC-SCF&lang=eng
BC,Scheduled Outreach Site,Services offered in English,Fort St. John Scheduled Outreach Site,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=BC-SBH&lang=eng
BC,Scheduled Outreach Site,Services offered in English,Fraser Lake Scheduled Outreach Site,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=BC-SCG&lang=eng
BC,Scheduled Outreach Site,Services offered in English,Grand Forks Scheduled Outreach Site,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=BC-SBW&lang=eng
BC,Scheduled Outreach Site,Services offered in English,Hope Scheduled Outreach Site,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=BC-SAQ&lang=eng
BC,Scheduled Outreach Site,Services offered in English,Kaslo Scheduled Outreach Site,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=BC-SCA&lang=eng
BC,Scheduled Outreach Site,Services offered in English,Mackenzie Scheduled Outreach Site,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=BC-SBM&lang=eng
BC,Scheduled Outreach Site,Services offered in English,McBride Scheduled Outreach Site,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=BC-SCD&lang=eng
BC,Scheduled Outreach Site,Services offered in English,Merritt Scheduled Outreach Site,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=BC-SBL&lang=eng
BC,Scheduled Outreach Site,Services offered in English,Nakusp Scheduled Outreach Site,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=BC-SCB&lang=eng
BC,Scheduled Outreach Site,Services offered in English,Osoyoos Scheduled Outreach Site,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=BC-SBY&lang=eng
BC,Scheduled Outreach Site,Services offered in English,Port Hardy Scheduled Outreach Site,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=BC-SBJ&lang=eng
BC,Scheduled Outreach Site,Services offered in English,Princeton Scheduled Outreach Site,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=BC-SBX&lang=eng
BC,Scheduled Outreach Site,Services offered in English,Revelstoke Scheduled Outreach Site,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=BC-SBZ&lang=eng
BC,Scheduled Outreach Site,Services offered in English,Sunshine Coast Scheduled Outreach Site,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=BC-SBO&lang=eng
BC,Scheduled Outreach Site,Services offered in English,Valemount Scheduled Outreach Site,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=BC-SCE&lang=eng
BC,Scheduled Outreach Site,Services offered in English,Whistler Scheduled Outreach Site,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=BC-SBK&lang=eng
AB,Service Canada Centre,Services offered in English and French,Canmore Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=4865&lang=eng
AB,Service Canada Centre,Services offered in English and French,Edmonton Canada Place Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=4754&lang=eng
AB,Service Canada Centre,Services offered in English and French,Edmonton Millbourne Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=4820&lang=eng
AB,Service Canada Centre,Services offered in English and French,Fort McMurray Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=4825&lang=eng
AB,Service Canada Centre,Services offered in English and French,Grande Prairie Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=4819&lang=eng
AB,Service Canada Centre,Services offered in English and French,Lethbridge Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=4860&lang=eng
AB,Service Canada Centre,Services offered in English and French,Medicine Hat Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=4807&lang=eng
AB,Service Canada Centre,Services offered in English and French,Red Deer Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=4808&lang=eng
AB,Service Canada Centre,Services offered in English and French,St. Paul Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=4824&lang=eng
AB,Service Canada Centre,Services offered in English,Brooks Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=4875&lang=eng
AB,Service Canada Centre,Services offered in English,Calgary One Executive Place Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=4804&lang=eng
AB,Service Canada Centre,Services offered in English,Calgary Royal Vista Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=4803&lang=eng
AB,Service Canada Centre,Services offered in English,Calgary Temple Crossing Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=4810&lang=eng
AB,Service Canada Centre,Services offered in English,Camrose Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=4821&lang=eng
AB,Service Canada Centre,Services offered in English,Edmonton Hermitage Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=4752&lang=eng
AB,Service Canada Centre,Services offered in English,Edmonton Westlink Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=4753&lang=eng
AB,Service Canada Centre,Services offered in English,Edson Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=4818&lang=eng
AB,Service Canada Centre,Services offered in English,Lloydminster Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=4862&lang=eng
AB,Service Canada Centre,Services offered in English,Slave Lake Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=4750&lang=eng
AB,Service Canada Centre and Passport Office (consolidated),Services offered in English and French,Calgary Centre Service Canada Centre and Passport Services,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=4802&lang=eng
AB,Service Canada Centre and Passport Office (consolidated),Services offered in English,Calgary Sundance Service Canada Centre and Passport Services,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=4602&lang=eng
AB,Passport Office,Services offered in English and French,Edmonton Service Canada Centre - Passport Services,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=4601&lang=eng
AB,Scheduled Outreach Site,Services offered in English and French,Cold Lake Scheduled Outreach Site,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=AB-SAN&lang=eng
AB,Scheduled Outreach Site,Services offered in English and French,Jasper Scheduled Outreach Site,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=AB-SAL&lang=eng
AB,Scheduled Outreach Site,Services offered in English and French,Lac La Biche Scheduled Outreach Site,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=AB-SAQ&lang=eng
AB,Scheduled Outreach Site,Services offered in English,Athabasca Scheduled Outreach Site,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=AB-SAH&lang=eng
AB,Scheduled Outreach Site,Services offered in English,Barrhead Scheduled Outreach Site,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=AB-SAS&lang=eng
AB,Scheduled Outreach Site,Services offered in English,Blairmore Scheduled Outreach Site,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=AB-SAK&lang=eng
AB,Scheduled Outreach Site,Services offered in English,Drayton Valley Scheduled Outreach Site,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=AB-SAP&lang=eng
AB,Scheduled Outreach Site,Services offered in English,Drumheller Scheduled Outreach Site,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=AB-SAJ&lang=eng
